,code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
51,US.AATC,Autoscope Technologies,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80865644473181,False,N/A,False,,US_PINK
52,US.AATGF,ATI AIRTEST TECHNOLOGIES INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83945136030068,False,N/A,False,,US_PINK
53,US.AATRL,AMG CAPITAL TR II 5.15% CONV PRF 15/10/2037,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511981,False,N/A,False,,US_PINK
54,US.AATV,ADAPTIVE AD SYSTEMS INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511675,False,N/A,False,,US_PINK
55,US.AAU,Almaden Minerals,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,208563,False,N/A,False,,US_AMEX
56,US.AAUKF,ANGLO AMERICAN,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511532,False,N/A,False,,US_PINK
57,US.AAVMY,ABN AMRO BANK N.V. UNSPON ADS EACH REP 1 ORD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212512730,False,N/A,False,,US_PINK
58,US.AAVVF,ADVANTGE O&G LTD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,78245714416120,False,N/A,False,,US_PINK
59,US.AAWH,ASCEND WELLNESS HLDGS INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84366042827629,False,N/A,False,,US_PINK
60,US.AAZZD,A2Z SMART TECHNOLOGIES CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80994493492348,False,N/A,False,,US_PINK
61,US.AB,联博控股,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,202822,False,N/A,False,,US_NYSE
62,US.ABAKF,ABRDN ASIA-PACIFIC INCOME FUND VCC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83945136030069,False,N/A,False,,US_PINK
63,US.ABAT,American Battery Technology,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84267258553701,False,N/A,False,,US_NASDAQ
64,US.ABBB,AUBURN BANCP INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,77975131476160,False,N/A,False,,US_PINK
65,US.ABBNY,ABB LTD SPON ADR EACH REP 1 ORD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83747567534127,False,N/A,False,,US_PINK
66,US.ABBRF,ABRASILVER RESOURCE CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212512218,False,N/A,False,,US_PINK
67,US.ABBV,艾伯维公司,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,206654,False,N/A,False,,US_NYSE
68,US.ABCAF,ATHABASCA MINERALS INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83945136030070,False,N/A,False,,US_PINK
69,US.ABCB,ABC银行,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,206061,False,N/A,False,,US_NASDAQ
70,US.ABCFF,ABACUS MINING & EXPLORATION CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212513382,False,N/A,False,,US_PINK
71,US.ABCL,AbCellera Biologics,1,STOCK,N/A,,N/A,,N/A,N/A,2020-12-11,79899276826805,False,N/A,False,,US_NASDAQ
72,US.ABCP,AMBASE CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511416,False,N/A,False,,US_PINK
73,US.ABEO,Abeona Therapeutics,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,211094,False,N/A,False,,US_NASDAQ
74,US.ABEPF,VISION LITHIUM INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511350,False,N/A,False,,US_PINK
75,US.ABEV,Ambev SA,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,206650,False,N/A,False,,US_NYSE
76,US.ABG,阿斯伯里汽车,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205293,False,N/A,False,,US_NYSE
77,US.ABILF,ABILITY INC ORD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,78408923173545,False,N/A,False,,US_PINK
78,US.ABIO,方舟生物医药,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205999,False,N/A,False,,US_NASDAQ
79,US.ABIT,ATHENA BITCOIN GLOBAL,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83910776291644,False,N/A,False,,US_PINK
80,US.ABL,Abacus Life,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83932251128150,False,N/A,False,,US_NASDAQ
81,US.ABLLL,ABACUS LIFE INC 9.875% SENIOR NOTES 15/11/2028 USD25,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84533546553251,False,N/A,False,,US_NASDAQ
82,US.ABLLW,ABACUS LIFE INC C/WTS 30/06/2028 (TO PUR COM),1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83932251128151,False,N/A,False,,US_NASDAQ
83,US.ABLV,Able View Global,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84121229691253,False,N/A,False,,US_NASDAQ
84,US.ABLVW,ABLE VIEW GLOBAL INC C/WTS 30/09/2028 (TO PUR COM),1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84121229691254,False,N/A,False,,US_NASDAQ
85,US.ABLZF,ABB LTD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511928,False,N/A,False,,US_PINK
86,US.ABM,反导工业,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,205393,False,N/A,False,,US_NYSE
87,US.ABMBF,ABCOURT MINES,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511402,False,N/A,False,,US_PINK
88,US.ABMC,AMERICAN BIO MEDICA CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511546,False,N/A,False,,US_PINK
89,US.ABML,AMERICAN BATTERY TECHNOLOGY CO,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,79869212055684,False,N/A,False,,US_PINK
90,US.ABMT,ADVANCED BIOMEDICAL TECHNOLOGIES,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212511842,False,N/A,False,,US_PINK
91,US.ABNAF,ABEN MINERALS LTD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83945136030071,False,N/A,False,,US_PINK
92,US.ABNB,爱彼迎,1,STOCK,N/A,,N/A,,N/A,N/A,2020-12-10,79809082513430,False,N/A,False,,US_NASDAQ
93,US.ABOS,Acumen Pharmaceuticals,1,STOCK,N/A,,N/A,,N/A,N/A,2021-07-01,80758270290513,False,N/A,False,,US_NASDAQ
94,US.ABQQ,AB INTL GROUP CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212513444,False,N/A,False,,US_PINK
95,US.ABR,阿伯房地产信托,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,202642,False,N/A,False,,US_NYSE
96,US.ABR.PRD,ARBOR REALTY TRUST INC 6.375% SERIES D CUMULATIVE RED PFD STK,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84572201258981,False,N/A,False,,US_NYSE
97,US.ABR.PRE,ARBOR REALTY TRUST INC SER E CUM RED PFD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84572201258982,False,N/A,False,,US_NYSE
98,US.ABR.PRF,ARBOR REALTY TRUST INC 6.25% SER F FXD/FLTG RATE CUMULATIVE PFD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84572201258983,False,N/A,False,,US_NYSE
