,code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
59,US..DJUSBM,道琼斯美国基础材料指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213297,False,N/A,False,,N/A
60,US..DJUSBS,道琼斯美国基础资源指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213298,False,N/A,False,,N/A
61,US..DJUSBT,道琼斯美国生物技术指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213299,False,N/A,False,,N/A
62,US..DJUSBV,道琼斯美国饮料指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213300,False,N/A,False,,N/A
63,US..DJUSCA,道琼斯美国赌博指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213301,False,N/A,False,,N/A
64,US..DJUSCC,道琼斯美国商品化学品指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213302,False,N/A,False,,N/A
65,US..DJUSCF,道琼斯美国服装配饰指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213303,False,N/A,False,,N/A
66,US..DJUSCG,道琼斯美国旅游休闲指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213304,False,N/A,False,,N/A
67,US..DJUSCH,道琼斯美国化学品指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213305,False,N/A,False,,N/A
68,US..DJUSCL,道琼斯美国煤炭指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213306,False,N/A,False,,N/A
69,US..DJUSCM,道琼斯美国个人产品指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213307,False,N/A,False,,N/A
70,US..DJUSCN,道琼斯美国建筑材料指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213308,False,N/A,False,,N/A
71,US..DJUSCP,道琼斯美国集装箱和包装指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213309,False,N/A,False,,N/A
72,US..DJUSCR,道琼斯美国计算机硬件指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213310,False,N/A,False,,N/A
73,US..DJUSCS,道琼斯美国专业消费者服务指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213311,False,N/A,False,,N/A
74,US..DJUSCT,道琼斯美国电讯设备指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213312,False,N/A,False,,N/A
75,US..DJUSCX,道琼斯美国特种化学品指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213313,False,N/A,False,,N/A
76,US..DJUSCY,道琼斯美国消费者服务指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213314,False,N/A,False,,N/A
77,US..DJUSDB,道琼斯美国酿酒商指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213315,False,N/A,False,,N/A
78,US..DJUSDN,道琼斯美国国防指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213316,False,N/A,False,,N/A
79,US..DJUSDR,道琼斯美国食品和药物零售商指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213317,False,N/A,False,,N/A
80,US..DJUSDS,道琼斯美国工业供应商指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213318,False,N/A,False,,N/A
81,US..DJUSDT,Dow Jones US Diversified REITs,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213319,False,N/A,False,,N/A
82,US..DJUSDV,道琼斯美国计算机服务指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213320,False,N/A,False,,N/A
83,US..DJUSEC,道琼斯美国电气元件及设备指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213321,False,N/A,False,,N/A
84,US..DJUSEE,道琼斯美国电子电气设备指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213322,False,N/A,False,,N/A
85,US..DJUSEH,道琼斯美国房地产控股与发展指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213323,False,N/A,False,,N/A
86,US..DJUSEN,道琼斯美国石油和天然气指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213324,False,N/A,False,,N/A
87,US..DJUSES,道琼斯美国房地产服务指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213325,False,N/A,False,,N/A
88,US..DJUSEU,道琼斯美国电力指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213326,False,N/A,False,,N/A
89,US..DJUSFA,Dow Jones US Financial Administration Index,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213327,False,N/A,False,,N/A
90,US..DJUSFB,道琼斯美国食品和饮料指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213328,False,N/A,False,,N/A
91,US..DJUSFC,道琼斯美国固定电话电讯指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213329,False,N/A,False,,N/A
92,US..DJUSFD,道琼斯美国食品零售商和批发商指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213330,False,N/A,False,,N/A
93,US..DJUSFE,道琼斯美国工业机械指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213331,False,N/A,False,,N/A
94,US..DJUSFH,道琼斯美国家具指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213332,False,N/A,False,,N/A
95,US..DJUSFI,道琼斯美国金融服务指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213333,False,N/A,False,,N/A
96,US..DJUSFN,道琼斯美国金融指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213334,False,N/A,False,,N/A
97,US..DJUSFO,道琼斯美国食品生产商指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213335,False,N/A,False,,N/A
98,US..DJUSFP,道琼斯美国食品指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213336,False,N/A,False,,N/A
99,US..DJUSFR,道琼斯美国林业与纸业指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213337,False,N/A,False,,N/A
100,US..DJUSFT,道琼斯美国鞋业指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213338,False,N/A,False,,N/A
101,US..DJUSFV,道琼斯美国金融服务综合指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213339,False,N/A,False,,N/A
102,US..DJUSGF,道琼斯美国通用财务指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213340,False,N/A,False,,N/A
103,US..DJUSGI,道琼斯美国通用工业指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213341,False,N/A,False,,N/A
104,US..DJUSGL,Dow Jones US Large-Cap Growth Index,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213342,False,N/A,False,,N/A
105,US..DJUSGM,Dow Jones US Mid-Cap Growth Index,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213343,False,N/A,False,,N/A
106,US..DJUSGR,道琼斯美国增长指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213344,False,N/A,False,,N/A
107,US..DJUSGS,Dow Jones US Small-Cap Growth Index,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213345,False,N/A,False,,N/A
108,US..DJUSGT,道琼斯美国综合零售商指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213346,False,N/A,False,,N/A
109,US..DJUSGU,道琼斯美国天然气分布指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213347,False,N/A,False,,N/A
110,US..DJUSHB,道琼斯美国家居建筑指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213348,False,N/A,False,,N/A
111,US..DJUSHC,道琼斯美国医疗保健指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213349,False,N/A,False,,N/A
112,US..DJUSHD,道琼斯美国耐用家用产品指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213350,False,N/A,False,,N/A
113,US..DJUSHG,道琼斯美国家庭用品指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213351,False,N/A,False,,N/A
114,US..DJUSHI,道琼斯美国家居零售商指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213352,False,N/A,False,,N/A
115,US..DJUSHL,Dow Jones US Hotel & Lodging REITs Index,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213353,False,N/A,False,,N/A
116,US..DJUSHN,道琼斯美国无保障住户产品指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213354,False,N/A,False,,N/A
117,US..DJUSHP,道琼斯美国医疗保健提供者指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213355,False,N/A,False,,N/A
118,US..DJUSHR,道琼斯美国商用车辆和卡车指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213356,False,N/A,False,,N/A
119,US..DJUSHV,道琼斯美国重型建筑指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213357,False,N/A,False,,N/A
120,US..DJUSIB,道琼斯美国保险经纪人指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213358,False,N/A,False,,N/A
121,US..DJUSID,道琼斯美国多元化工业指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213359,False,N/A,False,,N/A
122,US..DJUSIF,道琼斯美国全线保险指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213360,False,N/A,False,,N/A
123,US..DJUSIG,道琼斯美国工业产品与服务,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213361,False,N/A,False,,N/A
124,US..DJUSIL,道琼斯美国人寿保险指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213362,False,N/A,False,,N/A
125,US..DJUSIM,道琼斯美国工业金属指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213363,False,N/A,False,,N/A
126,US..DJUSIN,道琼斯美国工业指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213364,False,N/A,False,,N/A
127,US..DJUSIO,道琼斯美国工业和房地产信托指数,0,IDX,N/A,,N/A,,N/A,N/A,1970-01-01,213365,False,N/A,False,,N/A
